Municipio,Codigo_Postal,Poblacion,Superficie,Densidad_población,Media_paro,Afiliados_SS,Tasa_paro,N_empresas,Transacciones_inmobiliarias,Deuda_ayuntamientos,Saldo_migratorio,Renta_disponible_media
SASAMON,9363,963,113.11,8.51,27.58,261,10.57,38.62,14,0,13,20323.29
"SEQUERA DE HAZA, LA",9365,25,6.84,3.65,1,1,100,0,0,0,2,20323.27
SOLARANA,9366,73,16.51,4.42,1.41,6,23.5,9.59,0,0,8,20323.28
SORDILLOS,9368,28,9.71,2.88,1,1,100,0,1,0,-1,20323.27
SOTILLO DE LA RIBERA,9369,469,42.46,11.04,24.08,158,15.24,37.03,7,83,25,20323.84
SOTRAGERO,9372,289,5.49,52.64,17.66,33,53.52,10.33,4,0,6,20323.28
SOTRESGUDO,9373,445,172.19,2.58,7.25,88,8.24,23.02,10,0,-3,20323.28
SUSINOS DEL PARAMO,9374,113,11.45,9.86,0.5,1,50,0,0,0,3,20323.27
TAMARON,9375,41,15.66,2.61,2.41,6,40.17,0,0,2,6,20323.29
TARDAJOS,9377,800,12.72,62.89,30.83,190,16.23,42.47,6,0,15,20323.29
TEJADA,9378,34,22.74,1.49,0.41,1,41,0,1,0,0,20323.27
TERRADILLOS DE ESGUEVA,9380,73,14.39,5.07,0.41,14,2.93,16.86,0,0,1,20323.28
TINIEBLAS DE LA SIERRA,9381,28,29.38,0.95,0,1,0,29.74,10,0,1,20323.28
TOBAR,9382,22,11.96,1.83,0,9,0,18.21,0,0,2,20323.28
TORDOMAR,9384,329,30.06,10.94,14.41,87,16.56,9.58,1,0,-3,20323.28
TORRECILLA DEL MONTE,9386,73,14.93,4.88,5.25,19,27.63,6.73,1,0,5,20323.28
TORREGALINDO,9387,120,15.36,7.81,2.08,10,20.8,14.46,5,0,2,20323.28
TORRELARA,9388,33,12.51,2.63,0,1,0,17.8,0,0,1,20323.28
TORREPADRE,9389,76,28.56,2.66,2.83,13,21.77,8.67,3,0,0,20323.28
TORRESANDINO,9390,591,93.2,6.34,17.25,87,19.83,10.82,3,0,0,20323.28
TORTOLES DE ESGUEVA,9391,397,79.2,5.01,11,125,8.8,24.76,8,0,3,20323.28
TOSANTOS,9392,56,5.74,9.75,1.5,1,75,0,0,0,-3,20323.27
TRESPADERNE,9394,757,36.81,20.56,47,201,23.38,34.16,20,87,-2,20323.87
TUBILLA DEL AGUA,9395,142,78.69,1.8,2.75,10,27.5,8.22,8,0,-5,20323.28
TUBILLA DEL LAGO,9396,167,23.21,7.19,5.91,41,14.41,16.63,4,0,2,20323.28
URBEL DEL CASTILLO,9398,68,30.83,2.2,1.16,23,5.04,17.33,2,0,1,20323.28
VADOCONDES,9400,355,25.69,13.81,15.41,98,15.72,18.71,1,10,9,20323.35
VALDEANDE,9403,99,30.98,3.19,1.83,8,22.88,6.35,1,0,1,20323.28
VALDEZATE,9405,124,20.47,6.05,2,15,13.33,10.63,1,0,-2,20323.28
VALDORROS,9406,342,16.64,20.55,18.25,279,6.54,17.77,7,0,-15,20323.28
VALMALA,9407,24,16.97,1.41,1.91,2,95.5,0,0,0,3,20323.27
VALLARTA DE BUREBA,9408,45,19.12,2.35,1,6,16.67,5.8,0,0,-3,20323.28
VALLE DE MANZANEDO,9409,132,70.44,1.87,7.16,15,47.73,0,5,0,0,20323.27
VALLE DE MENA,9410,3987,263.17,15.14,246,910,27.03,120,97,200,80,21751
VALLE DE OCA,9411,169,38.47,4.39,4.91,43,11.42,18.78,4,0,4,20323.28
VALLE DE TOBALINA,9412,901,157.49,5.72,69.25,328,21.11,56.03,36,0,8,20323.29
VALLE DE VALDEBEZANA,9413,456,156.64,2.91,26.41,143,18.47,41.9,21,0,14,20323.29
VALLE DE VALDELAGUNA,9414,194,92.66,2.09,2.75,11,25,9.25,3,0,4,20323.28
VALLE DE VALDELUCIO,9415,339,95.7,3.54,12.33,66,18.68,1.78,1,0,-10,20323.28
VALLE DE ZAMANZAS,9416,50,19.27,2.59,7.66,1,95.75,0,0,14,-2,20323.36
VALLEJERA,9417,40,18.32,2.18,0.91,7,13,9.73,0,0,0,20323.28
VALLES DE PALENZUELA,9418,81,20.87,3.88,4,18,22.22,6.28,1,0,0,20323.28
VALLUERCANES,9419,67,27.95,2.39,1.25,19,6.58,14.03,0,0,1,20323.28
"VID Y BARRIOS, LA",9421,276,37.58,7.34,14.66,102,14.37,3.31,3,0,-17,20323.28
"VID DE BUREBA, LA",9422,19,9.74,1.95,0,1,0,20.16,0,0,5,20323.28
VILEÑA,9423,26,6.35,4.09,1.5,1,75,0,1,0,-1,20323.27
VILORIA DE RIOJA,9424,38,6.95,5.46,0,1,0,18.58,1,0,-1,20323.28
VILVIESTRE DEL PINAR,9425,532,33.9,15.69,23.83,182,13.09,33.6,12,0,8,20323.29
VILLADIEGO,9427,1484,327.96,4.52,55.83,415,13.45,52,19,1,21,16756
VILLAESCUSA DE ROA,9428,97,17.5,5.54,1.25,13,9.62,17.64,2,0,4,20323.28
VILLAESCUSA LA SOMBRIA,9429,57,16.24,3.5,0.08,1,8,16.04,2,0,1,20323.28
VILLAESPASA,9430,27,19.49,1.38,1.5,1,75,0,0,0,2,20323.27
VILLAFRANCA MONTES DE OCA,9431,115,52.45,2.19,5.75,16,35.94,3.73,4,0,3,20323.28
VILLAFRUELA,9432,168,52.01,3.23,2.08,40,5.2,11.79,2,0,-8,20323.28
VILLAGALIJO,9433,58,22.07,2.62,4.91,8,61.38,0,0,0,-3,20323.27
VILLAGONZALO PEDERNALES,9434,1853,13.82,134.08,80.66,1341,6.01,67,22,0,1,22068
VILLAHOZ,9437,291,50.53,5.75,11.91,33,36.09,17.12,1,332,20,20325.51
VILLALBA DE DUERO,9438,707,13.75,51.41,35.75,125,28.6,29.58,8,0,7,20323.29
VILLALBILLA DE BURGOS,9439,1454,14.45,100.62,68.83,586,11.75,54,8,206,-10,21621
VILLALBILLA DE GUMIEL,9440,86,26.41,3.25,1.25,1,62.5,0,0,0,2,20323.27
VILLALDEMIRO,9441,99,13.43,7.37,0,13,0,17.89,0,0,-1,20323.28
VILLALMANZO,9442,415,23.91,17.35,24.25,169,14.35,25.42,2,0,15,20323.28
VILLAMAYOR DE LOS MONTES,9443,155,40.71,3.8,2.08,38,5.47,22.55,5,0,3,20323.28
VILLAMAYOR DE TREVIÑO,9444,64,18.75,3.41,0.5,20,2.5,13.43,0,0,-4,20323.28
VILLAMBISTIA,9445,44,13.07,3.36,0.5,1,50,0,3,0,3,20323.27
VILLAMEDIANILLA,9446,10,6.76,1.47,1.58,1,79,0,0,0,0,20323.27
VILLAMIEL DE LA SIERRA,9447,44,17.91,2.45,1.83,6,30.5,3.7,3,0,0,20323.28
VILLANGOMEZ,9448,225,38.35,5.86,5,50,10,20.68,3,0,7,20323.28
VILLANUEVA DE ARGAÑO,9449,114,7.92,14.39,0.91,23,3.96,22.77,1,0,5,20323.28
VILLANUEVA DE CARAZO,9450,24,7.38,3.25,0.25,1,25,5.18,1,0,1,20323.28
VILLANUEVA DE GUMIEL,9451,274,22.33,12.27,16.66,32,52.06,0,1,0,9,20323.28
VILLANUEVA DE TEBA,9454,39,6.12,6.37,5.58,1,93,0,2,0,1,20323.27
VILLAQUIRAN DE LA PUEBLA,9455,48,11.48,4.18,2.41,10,24.1,5.95,1,0,1,20323.28
VILLAQUIRAN DE LOS INFANTES,9456,151,12.98,11.63,5.25,58,9.05,19.64,4,0,0,20323.28
VILLARIEZO,9458,690,10.24,67.38,30.58,587,5.21,79.42,22,0,30,20323.3
VILLASANDINO,9460,176,43.71,4.02,6.16,14,44,0,3,0,1,20323.27
VILLASUR DE HERREROS,9463,258,87.8,2.93,14.08,28,50.29,0,1,0,3,20323.27
VILLATUELDA,9464,42,15.3,2.74,0.5,7,7.14,15.74,0,0,4,20323.28
VILLAVERDE DEL MONTE,9466,122,37.31,3.26,2.08,6,34.67,0,2,0,-4,20323.27
VILLAVERDE-MOGINA,9467,74,13.55,5.46,2.75,9,30.56,3.97,1,0,3,20323.28
VILLAYERNO MORQUILLAS,9471,209,10.49,19.92,14.16,22,64.36,0,0,0,6,20323.27
VILLAZOPEQUE,9472,52,11.73,4.43,1.58,9,17.56,8.46,0,0,1,20323.28
VILLEGAS,9473,90,24.59,3.66,1.16,16,7.25,20.34,2,0,7,20323.28
VILLORUEBO,9476,68,25.75,2.64,0.58,1,58,0,1,0,1,20323.27
VIZCAINOS,9478,46,11.48,4,1,1,100,0,2,0,2,20323.27
ZAEL,9480,117,18.76,6.23,2.25,11,20.45,12.43,1,0,7,20323.28
ZARZOSA DE RIO PISUERGA,9482,34,10.81,3.14,0.83,1,83,0,2,14,-1,20323.36
ZAZUAR,9483,207,22.58,9.16,7.75,47,16.49,8.47,1,0,-4,20323.28
ZUÑEDA,9485,56,12.14,4.61,0.08,6,1.33,20.14,1,0,3,20323.28
QUINTANILLA DEL AGUA Y TORDUELES,9901,357,35.79,9.97,11.16,53,21.06,5.46,2,0,-7,20323.28
VALLE DE SANTIBAÑEZ,9902,482,105.86,4.55,13.08,67,19.52,18.04,6,0,6,20323.28
VILLARCAYO DE MERINDAD DE CASTILLA LA VIEJA,9903,4029,151.27,26.63,303.58,1378,22.03,186,128,633,-65,19182
VALLE DE LAS NAVAS,9904,530,111.83,4.73,17.58,73,24.08,18.65,8,0,7,20323.28
VALLE DE SEDANO,9905,409,264.06,1.54,22.5,83,27.11,29.16,16,0,12,20323.28
MERINDAD DE RIO UBIERNA,9906,1436,275.23,5.21,39.91,731,5.46,50,17,0,-23,21657
ALFOZ DE QUINTANADUEÑAS,9907,2163,41.51,52.1,124.91,300,41.64,50,22,117,21,23197
VALLE DE LOSA,9908,488,227.66,2.14,40.5,143,28.32,62.34,39,0,20,20323.29
SANTA MARIA RIBARREDONDA,9353,95,11.76,8.07,8.08,24,33.67,4.75,5,0,-2,20323.28
