Municipio,Codigo_Postal,Poblacion,Superficie,Densidad_población,Media_paro,Afiliados_SS,Tasa_paro,N_empresas,Transacciones_inmobiliarias,Deuda_ayuntamientos,Saldo_migratorio,Renta_disponible_media
CARRIAS,9076,25,13.26,1.88,0.5,1,50,0,0,0,1,20323.27
CASCAJARES DE BUREBA,9077,29,7.92,3.66,0,5,0,16.18,0,0,-2,20323.28
CASCAJARES DE LA SIERRA,9078,32,6.81,4.69,1,13,7.69,14.04,1,0,-1,20323.28
CASTELLANOS DE CASTRO,9079,49,9.93,4.93,0.33,9,3.67,16.4,0,0,1,20323.28
CASTILDELGADO,9082,33,4.95,6.66,3.16,15,21.07,9.65,1,0,3,20323.28
CASTIL DE PEONES,9083,25,13.98,1.78,0.33,1,33,0.3,0,0,3,20323.27
CASTRILLO DE LA REINA,9084,173,14.45,11.97,8.58,20,42.9,0.77,3,0,2,20323.28
CASTRILLO DE LA VEGA,9085,648,26.42,24.52,49,156,31.41,9.42,7,0,-8,20323.28
CASTRILLO DEL VAL,9086,814,22.54,36.11,18.83,188,10.02,49.48,13,0,19,20323.29
CASTRILLO DE RIOPISUERGA,9088,57,17.44,3.26,0,1,0,16.06,0,0,-2,20323.28
CASTRILLO MOTA DE JUDIOS,9090,49,22.05,2.22,2.5,1,100,0,1,0,1,20323.27
CASTROJERIZ,9091,758,136.07,5.57,24.75,212,11.67,35.77,17,0,5,20323.29
CAYUELA,9093,190,13.47,14.1,5.41,28,19.32,13.95,4,0,-1,20323.28
CEBRECOS,9094,54,23.3,2.31,1.08,7,15.43,8.4,0,0,0,20323.28
CELADA DEL CAMINO,9095,102,12.57,8.11,3.25,10,32.5,3.65,1,0,3,20323.28
CEREZO DE RIO TIRON,9098,532,63.7,8.35,20,278,7.19,12.04,5,0,-14,20323.28
CERRATON DE JUARROS,9100,52,16.25,3.2,2.83,8,35.38,0,1,0,0,20323.27
CIADONCHA,9101,78,15.29,5.1,1.5,13,11.54,13.27,1,0,1,20323.28
CILLAPERLATA,9102,35,16.82,2.08,2.75,3,91.67,0,2,0,2,20323.27
CILLERUELO DE ABAJO,9103,218,48.16,4.52,4.5,73,6.16,14.74,4,0,-7,20323.28
CILLERUELO DE ARRIBA,9104,41,18.49,2.21,0.08,1,8,15.67,2,0,1,20323.28
CIRUELOS DE CERVERA,9105,104,37.87,2.74,0.66,14,4.71,13.27,0,0,-2,20323.28
COGOLLOS,9108,592,31.25,18.94,26,84,30.95,34.66,14,0,20,20323.29
CONDADO DE TREVIÑO,9109,1416,260.71,5.43,49.83,207,24.07,23,49,0,43,23136
CONTRERAS,9110,81,38.12,2.12,3.58,1,89.5,0,0,0,2,20323.27
CORUÑA DEL CONDE,9112,105,34.35,3.05,2.16,26,8.31,13.86,1,0,0,20323.28
